smiles_std,freesolv
C1CC2=CC=CC3=C2C1=CC=C3,-3.15
CCCCCCCCBr,0.52
C1=CC=C(C=C1)CO,-6.62
C1=C(C(=O)NC(=O)N1)Br,-18.17
CCCC,2.1
CCl,-0.55
CC(C)CBr,-0.03
CC(C)SC(C)C,-1.21
CCCCCCC,2.67
C1=CN=CN1,-9.63
C1=CC2=C(C=C1Cl)OC3=CC(=C(C(=C3O2)Cl)Cl)Cl,-3.84
CC[C@H](C)N1C(=O)C(=C(NC1=O)C)Br,-9.73
C(I)I,-2.49
CCCN(CCC)C(=O)SCCC,-4.13
C[N+](=O)[O-],-4.02
CCOC,-2.1
COC(CCl)(OC)OC,-4.59
CC(C)C,2.3
CC(C)CC(=O)O,-6.09
CCOP(=O)(OCC)O/C(=C/Cl)/C1=C(C=C(C=C1)Cl)Cl,-7.07
CCCCl,-0.33
CCCSCCC,-1.28
CCC[C@H](CC)O,-4.06
CC#N,-3.88
CN(CC(F)(F)F)C1=CC=CC=C1,-1.92
[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1
C=CCCC=C,1.01
CC1=CC(=CC=C1)C,-0.83
CC(=O)OC,-3.13
COC(C1=CC=CC=C1)(OC)OC,-4.04
CCOC(=O)C1=CC=CC=C1,-3.64
CCCS,-1.1
CCCCCC(=O)C,-3.04
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,-9.61
C1=CC=C(C=C1)CBr,-2.38
CCCCCC(=O)OCC,-2.23
CCCOC,-1.66
CN1CCOCC1,-6.32
C1=CC(=CC(=C1)O)C#N,-9.65
C1=CC(=C(C=C1C2=C(C(=CC(=C2Cl)Cl)Cl)Cl)Cl)Cl,-4.38
CCCC1=CC=CC=C1,-0.53
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-12.64
CNC,-4.29
C(=C(F)F)(C(F)(F)F)F,2.93
C1=CC(=CC=C1O)Cl,-7.03
C1CCNCC1,-5.11
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,-3.88
CI,-0.89
COC1=C(C(=C(C=C1Cl)Cl)OC)O,-6.44
C(=C/Cl)\Cl,-0.78
CCCCC,2.3
CCCC#N,-3.64
[C@@H](C(F)(F)F)(F)Br,0.5
CC(C)CC1=NC=CN=C1,-5.04
CC[C@H](C)O[N+](=O)[O-],-1.82
C1=CC=C(C=C1)C2=C(C=CC(=C2)Cl)Cl,-2.46
C1=CC=C(C=C1)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl,-3.48
CC[C@@H](C)C(C)C,2.52
C[C@H](CC(C)C)O,-3.73
C1CCOCC1,-3.12
C1CC1,0.75
C1=C(C=C(C(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl,-3.17
C=C(Cl)Cl,0.25
CC(C)CO,-4.5
CCCOC(=O)CC,-2.44
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64
CSC1=CC=CC=C1,-2.73
CCC1=CC=CC=C1O,-5.66
CC(C)(C)Cl,1.09
CC(=C)C=C,0.68
CC1=CC=C(C=C1)C(C)C,-0.68
CN1C=CN=C1,-8.41
C(CO)O,-9.3
C1=CC=C(C(=C1)Cl)Cl,-1.36
C1=C(NC(=O)NC1=O)Cl,-15.83
CCCOC=O,-2.48
C1=CC=C2C(=C1)OC3=C(O2)C=C(C=C3)Cl,-3.1
CCCCCC(=O)O,-6.21
CCOC(=O)CCC(=O)OCC,-5.71
CC1=CC(=NC=C1)C,-4.86
C1CCC=CC1,0.14
CN1CCN(CC1)C,-7.58
C1=CC(=C(C=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
C1=CC(=O)C=CC1=O,-6.5
COC(=O)CCl,-4.0
CCCC=O,-3.18
CCC1=CC=CC=C1,-0.79
C(=C(Cl)Cl)Cl,-0.44
CCN(CC)CC,-3.22
C1=CC2=C(C=C1Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-4.15
CC1=C(C=NC=C1)C,-5.22
C1(=O)NC(=O)NC(=O)N1,-18.06
C1=CC=C(C=C1)C=O,-4.02
C1=CC=NC(=C1)Cl,-4.39
C=CCCl,-0.57
CC1=CC=C(C=C1)C(=O)C,-4.7
C=O,-2.75
CC1=CC=CC=C1Cl,-1.14
CC(=O)N1CCCC1,-9.8
CC(OC)(OC)OC,-4.42
CCCCC1=CC=CC=C1,-0.4
CN(C)C1=CC=CC=C1,-3.45
CC(C)OC,-2.01
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-4.53
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,-2.98
C(C(Cl)Cl)Cl,-1.99
CNC1=CC=CC=C1,-4.69
CC(C)OC(=O)C,-2.64
C1=CC=CC=C1,-0.9
C1=CC(=C(C(=C1)Cl)Cl)Cl,-1.24
CCOP(=S)(OCC)SCSC1=CC=C(C=C1)Cl,-6.5
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,-10.03
C1=CC=C2C(=C1)OC3=C(O2)C(=C(C=C3Cl)Cl)Cl,-4.05
CC(=C)C(=C)C,0.4
CCCCC=C,1.58
CCOCC,-1.59
CCNC1=NC(=NC(=N1)SC)NC(C)C,-7.65
CCCCOC(=O)C1=CC=C(C=C1)O,-8.72
CCCCCCOC(=O)C,-2.26
C1CCC(=O)C1,-4.7
CCCCC(=O)O,-6.16
CCBr,-0.74
CC1=CC2=C(C=C1)C=C(C=C2)C,-2.63
CCCCCCO,-4.4
C1=CC=C(C=C1)C2=CC=CC=C2Cl,-2.69
CC1=CCCCC1,0.67
CCCCCCO[N+](=O)[O-],-1.66
C(Br)(Br)Br,-2.13
CCC1=CC=C(C=C1)O,-6.13
CCCOCCO,-6.4
C1=CC=C(C=C1)OC=O,-3.82
C1=C(C(=O)NC(=O)N1)I,-18.72
CCCC(=O)O,-6.35
COC(C(F)(F)F)(OC)OC,-0.8
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52
C(F)(F)(F)Br,1.79
CCCCO,-4.72
C1=CC=C(C=C1)F,-0.8
CCOC(=O)C,-2.94
CC(C)COC(=O)C(C)C,-1.69
CC(C)(C)OC,-2.21
C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55
CCC(=O)CC,-3.41
COC(=O)C(F)(F)F,-1.1
C1=CC=C2C=CC=CC2=C1,-2.4
C1=CC(=C(C(=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
CC(=O)OC1=CC=CC=C1C(=O)O,-9.94
CC(=O)C(C)(C)C,-3.11
COS(=O)(=O)C,-4.87
CCC1=CC=NC=C1,-4.73
CC(C)NC(C)C,-3.22
C1=CC2=C(C=C1Cl)OC3=C(O2)C=C(C=C3)Cl,-3.67
CCCCCCCN,-3.79
CC1CCCC1,1.59
CCC,2.0
C[C@H]1CCCO1,-3.3
CNC(=O)OC1=CC=CC2=CC=CC=C21,-9.45
C1=CC(=CC(=C1)O)C=O,-9.52
C1=CC=C2C=C3C=CC=CC3=CC2=C1,-3.95
C(Cl)Cl,-1.31
CC(C)(C)C(=O)OC,-2.4
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
CC1=C(C(=CC=C1)C)O,-5.26
CC1=CC(=CC=C1)O,-5.49
C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)O)N,-9.53
C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)N)N,-11.85
CCCCCCCC(=O)C,-2.49
CCCCN,-4.24
CCCC(=O)OCC,-2.49
CC1=CC=C(C=C1)N,-5.57
CCCCCCI,0.08
C(C(F)(Cl)Cl)(F)(F)Cl,1.77
COP(=O)(OC)OC,-8.7
C1=CC(=CC(=C1)Cl)Cl,-0.98
CC1=CC2=CC=CC=C2C(=C1)C,-2.47
CCCC(C)C,2.51
CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,-5.04
C(C(F)(F)F)Cl,0.06
C=C,1.28
CCCCCI,-0.14
COC(OC)OC,-4.42
CCCCCCCCCC,3.16
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
CC=C,1.32
CC1=CNC2=CC=CC=C12,-5.88
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
C1CCCCC1,1.23
CC(=CCC/C(=C/CO)/C)C,-4.45
CC(C)C1=CC=CC=C1,-0.3
CC(C)C(C)C(C)C,2.56
CC(C)C(=O)C,-3.24
CCCCNCCCC,-3.24
CCCCS,-0.99
C1=CC=C2C(=C1)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-3.81
COC1=C(C(=C(C(=C1Cl)C=O)Cl)OC)O,-8.68
C1CCC(CC1)N,-4.59
C(F)(F)Cl,-0.5
COC(=O)C1=CC=C(C=C1)[N+](=O)[O-],-6.88
CC(=O)C1=CN=CC=C1,-8.26
CC#C,-0.48
CCCCCCCCC=O,-2.07
CCC(=O)O,-6.46
C(Cl)(Cl)Cl,-1.08
CC1=C(C(=CC=C1)C)C,-1.21
C1=CC=C(C=C1)CCl,-1.93
CC1CCCCC1,1.7
CC1=CC=CS1,-1.38
C1=CC=NC=C1,-4.69
CCCCCl,-0.16
C[C@H]1CC[C@@H](O1)C,-2.92
CC1=CC(=C(C=C1)O)OC,-5.8
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44
CC1=CC=CC=C1,-0.9
CC(C)COC=O,-2.22
CCOC(=O)C1=CC=C(C=C1)O,-9.2
CCOCCOCC,-3.54
CCCCCOC(=O)CC,-2.11
CCCC1=CC=C(C=C1)O,-5.21
CC=C(C)C,1.31
C(CCl)Cl,-1.79
CCC(C)(C)CC,2.56
CC1=CC2=CC=CC=C2C=C1C,-2.78
CC1=NC(=CC=C1)C,-4.59
COC(C(Cl)Cl)(F)F,-1.12
CCOCCOC(=O)C,-5.31
COC1=CC=CC(=C1)N,-7.29
C1=CC(=CN=C1)C=O,-7.1
CCC(C)(C)O,-4.43
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,-8.21
CN1C=CC=C1,-2.89
COCOC,-2.93
CCC(CC)O,-4.35
CCCCCCCCCC(=O)C,-2.15
C(CBr)Cl,-1.95
C1=CC=C(C=C1)I,-1.74
CC1=CC(=O)CC(C1)(C)C,-5.18
CCI,-0.74
CCCC1=CC(=C(C=C1)O)OC,-5.26
CC(C)Br,-0.48
CC1=CC=C(C=C1)Br,-1.39
C1=CC(=CC=C1C#N)O,-10.17
CS(=O)(=O)C,-10.08
CCC1=CC(=CC=C1)O,-6.25
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
C1=CC(=CC=C1Br)Br,-2.3
COC1=C(C=CC(=C1C(=O)O)Cl)Cl,-9.86
CC/C=C\C,1.31
CC,1.83
COC1=CC=CC=C1OC,-5.33
CCSCC,-1.46
C1=CC(=CN=C1)C#N,-6.75
C1=CC(=C(C=C1O)Cl)Cl,-7.29
COC1=CC=CC=C1,-2.45
CC1=CC(=C(C=C1)C)O,-5.91
C1=CC(=CC=C1Cl)Cl,-1.01
C(F)Cl,-0.77
CCCC=C,1.68
C1=CC(=C(C(=C1Cl)Cl)Cl)Cl,-1.34
CCCCCC#C,0.6
CCCCCCCCC(=O)C,-2.34
C1=CC=C(C=C1)Cl,-1.12
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,-9.34
CCCCC=O,-3.03
C1=CC=C(C=C1)OC2=CC=CC=C2,-2.87
C1CCC(=O)CC1,-4.91
CCCC[N+](=O)[O-],-3.09
C1=CN=CC=C1C=O,-7.0
C(CCl)OCCCl,-4.23
CC[N+](=O)[O-],-3.71
C1=CC(=CN=C1)Cl,-4.01
CBr,-0.82
CO,-5.1
CCCCCCC=O,-2.67
C1=CC(=C(C(=C1)Cl)C2=C(C=CC=C2Cl)Cl)Cl,-2.28
C1=CC=C(C(=C1)N)[N+](=O)[O-],-7.37
CN1CCCCC1,-3.88
CCCCCCCC=O,-2.29
C1=CC=C(C=C1)[N+](=O)[O-],-4.12
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
CF,-0.22
CS(=O)C,-9.28
C1=CC=C2C(=C1)OC3=CC=CC=C3O2,-3.15
CC1=CC=CC=C1N,-5.53
CCCCBr,-0.4
CCCCCCCCCO,-3.88
CC1=CC=NC=C1,-4.93
C(=C(Cl)Cl)(Cl)Cl,0.1
CC(C)(C)Br,0.84
C=C(C1=CC=CC=C1)C2=CC=CC=C2,-2.78
CCC1=CC=C(C=C1)C,-0.95
CC1=CN=CC=C1,-4.77
COCC(OC)(OC)OC,-5.73
C1C2=CC=CC=C2C3=CC=CC=C31,-3.35
CC(=O)N,-9.71
COS(=O)(=O)OC,-5.1
C(C(Cl)Cl)(Cl)Cl,-2.37
COC(=O)C1CCCCC1,-3.3
CCCCCCBr,0.18
CCCCCCCBr,0.34
C1=CC=C2C(=C1)OC3=C(O2)C(=CC=C3)Cl,-3.52
COC(CC#N)(OC)OC,-6.4
CC[C@H](C)Cl,0.0
CCCCCCC1=CC=CC=C1,-0.04
COC1=C(C(=C(C(=C1)C=O)Cl)OC)O,-7.78
C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,1.07
C1=CC=C(C=C1)CN2C=CN=C2,-7.63
C1=CC=C2C(=C1)C=CC=C2N,-7.28
CCOC(=O)CC(=O)OCC,-6.0
CC(=O)C1CC1,-4.61
C1=CNC=C1,-4.78
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,-9.4
CC1CCC(CC1)C,2.11
C1CCC(CC1)O,-5.46
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,-7.43
C1=CC(=CC=C1O)F,-6.19
C1=CC=C(C(=C1)N)Cl,-4.91
CC1=CC(=C(C=C1)C)C,-0.86
CCC1=CC=CC=C1C,-0.85
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75
C1=CC=C(C=C1)C2=CC=CC=C2,-2.7
CC1=C(C(=CC=C1)O)C,-6.16
COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],-7.19
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],-6.74
CCN(CC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66
CSC,-1.61
C[C@@H](C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,-10.78
C1CCC(C1)O,-5.49
CCCCC(=O)OC,-2.56
CCCC(=C)C,1.47
C[C@@H](C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,-8.42
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98
C=CCl,-0.59
CC1=CC=C(C=C1)C(=O)N(C)C,-9.76
CCCC(=O)CCC,-2.92
COC(=O)C1=CC=CC=C1,-3.92
CC1=CC=C(C=C1)C=O,-4.27
CCCC(=O)OCCC,-2.28
C1CNCCN1,-7.4
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)C2=CC=CC=C2C1=O,-5.74
CCOCCO,-6.69
CCC(C)CC,2.51
CC1=NC=CN=C1,-5.51
CCC[N+](=O)[O-],-3.34
CC1=CC(=CC(=C1)C)C,-0.9
C1=C(C(=O)NC(=O)N1)F,-16.92
CCO,-5.0
CC1=CC=C(C2=CC=CC=C12)C,-2.82
C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,-3.37
C1=CC(=C(C(=C1)Cl)C#N)Cl,-4.71
CCOC=O,-2.56
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,-1.34
CCOC(OCC)OC1=CC=CC=C1,-5.23
C1=CC(=CC(=C1)O)[N+](=O)[O-],-9.62
CCCCCCCCO,-4.09
CCC=C,1.38
C(Cl)(Cl)(Cl)Cl,0.08
C1=CC=C(C=C1)CCO,-6.79
CN(C)C(=O)NC1=CC=CC=C1,-9.13
CSSC,-1.83
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01
CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84
COC,-1.91
CCCCCC,2.48
C(CBr)Br,-2.33
C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23
C1=C(C(=O)NC(=O)N1)C(F)(F)F,-15.46
CC1=C(C(=CC=C1)C)N,-5.21
CCCOC(=O)C,-2.79
C1=CC=C2C(=C1)C=CC=N2,-5.72
CCS,-1.14
CCSSCC,-1.64
C1=CSC=C1,-1.4
CCC1=CC=CC2=CC=CC=C21,-2.4
CCCC(=O)C,-3.52
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C2=C(C(=C(C=C2Cl)Cl)Cl)Cl,-4.61
CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45
CC(=O)O,-6.69
CC=O,-3.5
C1=CC(=CC(=C1)[N+](=O)[O-])N,-8.84
CCCCC#C,0.29
COC1=CC=CC=C1N,-6.12
C1=CC=C(C=C1)O,-6.6
CCC#N,-3.84
C1=CC=C2C(=C1)C=CC=C2O,-7.67
CCCCOC(=O)C,-2.64
CC(C)(/C=N\OC(=O)NC)SC,-9.84
CC1=CC=CC=C1O,-5.9
CC(C)C=O,-2.86
CCC(=O)N,-9.4
CCCBr,-0.56
CC(C)Cl,-0.25
C(CCl)CCl,-1.89
C1=CC(=CC=C1[N+](=O)[O-])O,-10.64
C[C@@H](CCl)Cl,-1.27
C1=CC(=CC=C1N)Cl,-5.9
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)N,-9.44
CC1=C(N=CC=C1)C,-4.82
C1=CN=CC=C1C#N,-6.02
CCOP(=S)(OCC)SCSCC,-4.37
CC(=O)C1CCCCC1,-3.9
CC1=CC=CC=C1C=O,-3.93
CC(=O)C1=CC=NC=C1,-7.62
C1=C2C(=CC(=C1Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-3.71
CC(=O)C,-3.8
CC(=C)C,1.16
C1=CC(=C(C=C1Cl)C2=CC(=C(C(=C2)Cl)Cl)Cl)Cl,-3.61
CCCCC[N+](=O)[O-],-2.82
CCC/C=C/C=O,-3.68
CN(C)C(=O)C1=CC=C(C=C1)[N+](=O)[O-],-11.95
C1CCOC1,-3.47
CCCCCCCC,2.88
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25
CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49
C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
CC(C)OC(C)C,-0.53
CCCCC(C)C,2.93
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],-5.22
[C@@H](C(F)(F)F)(Cl)Br,-0.11
CCCCOCCCC,-0.83
CCCCCC1CCCC1,2.55
CC(C)CC(C)C,2.83
CC1=CN=C(C=C1)C,-4.72
C/C=C/C=O,-4.22
CCC[C@H](C)CC,2.71
C1=CC(=C(C(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl,-1.96
C1=CC=C(C=C1)O[C@@H](C(F)F)F,-1.29
COCCOC,-4.84
CC[C@H](C)C1=CC=CC=C1,-0.45
C1=CC=C(C=C1)CCCO,-6.92
CC[C@@H](C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,-6.23
COC1=CC=C(C=C1)C(=O)OC,-5.33
CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,-7.78
C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,-10.21
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43
CC(C)CCOC(=O)C,-2.21
CCCCCCCl,0.0
CC(C)CC(=O)C,-3.05
CCCCCC=O,-2.81
C1COCCN1,-7.17
CCOC(C)OCC,-3.28
CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51
CS,-1.2
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23
CC(=O)C1=CC=C(C=C1)OC,-4.4
C=CCO,-5.03
CCSC,-1.5
CCCCCOC(=O)C,-2.51
C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,-1.62
CC(=O)C1=CC=CC=C1,-4.58
CCCl,-0.63
CCCC1CCCC1,2.13
C1=C(C=C(C=C1Cl)Cl)Cl,-0.78
CCCOC(=O)C1=CC=C(C=C1)O,-9.37
C1=CC(=CC(=C1)Cl)O,-6.62
CC(C)CCO,-4.42
CCCCCN,-4.09
CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl,-11.14
CC(C)CCC(C)(C)C,2.93
CCCCOCCO,-6.25
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82
C1=CC=C(C=C1)C(=O)N,-11.0
CC(C)[N+](=O)[O-],-3.13
C(C(CO)O)O,-13.43
CCCI,-0.53
COCCN,-6.55
C(C(Cl)(Cl)Cl)Cl,-1.43
CCC(=O)OC,-2.93
C1CCCC1,1.2
CCC1=CN=CC=C1,-4.59
CC1=CC(=CN=C1)C,-4.84
COCCO,-6.619999999999999
COC=O,-2.78
C1=CC=C2C=C(C=CC2=C1)N,-7.47
CC1=CN=CN1,-10.27
CC1=CC(=CC=C1)[N+](=O)[O-],-3.45
C(CCCl)CCl,-2.32
CC(=O)CO[N+](=O)[O-],-5.99
CC(C)(C)C1=CC=CC=C1,-0.44
CCCCCC(=O)OC,-2.49
C[C@@H](C(F)(F)F)O,-4.16
CCCCCBr,-0.1
CCCCCCC=C,1.92
CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51
CC(C)O,-4.74
CCCCCCN,-3.95
C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8
CC1=CC(=C(C=C1)O)C,-6.01
CCCCCO,-4.57
CCC[C@@H](C)O,-4.39
CCCC[C@@H](C)CC,2.97
C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,-7.0
CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15
CC1=C(C=C(C=C1)O)C,-6.5
CC1=C(C=CC(=C1)O)Cl,-6.79
CCCC/C=C/C,1.68
CCCOCCC,-1.16
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2
CCNC1=NC(=NC(=N1)SC)NC(C)(C)C,-6.68
CC(C)CC(C)(C)C,2.89
CCCCC(=O)CCCC,-2.64
CCCCN(CC)C(=O)SCCC,-3.64
CCCCCC=C,1.66
CC(C)OC=O,-2.02
CC(OC(=O)C)OC(=O)C,-4.97
C1=C(C(=O)NC(=O)N1)Cl,-17.74
CC(=C)C1=CC=CC=C1,-1.24
CCC(C)C,2.38
CCCCO[N+](=O)[O-],-2.09
C1=CC=C(C=C1)Br,-1.46
CC(Cl)(Cl)Cl,-0.19
CC(=C)[C@H]1CCC(=CC1)C=O,-4.09
CC1=CC=CC=C1[N+](=O)[O-],-3.58
CCCCCCCI,0.27
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,-4.52
CCCCCCl,-0.1
CC(C)COC(=O)C,-2.36
CCC(C)(C)C,2.51
C1=CC(=CC=C1N)[N+](=O)[O-],-9.82
COC(=O)CC#N,-6.72
COC1=CC=C(C=C1)N,-7.48
CC(C)CC1=CC=CC=C1,0.16
C1=CC=C(C=C1)C2=C(C=C(C=C2Cl)Cl)Cl,-2.16
CN,-4.55
C1=CC=C(C(=C1)O)Cl,-4.55
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,-11.53
C(=C\Cl)\Cl,-1.17
CCCCC(=O)C,-3.28
C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73
C1=CC=C(C(=C1)O)F,-5.29
